sale_id,lead_id,property_id,agent_id,sale_date,sale_price,commission_id,campaign_id
401,1217,608,116,2024-10-10,3000000,401,42
402,1222,609,718,2023-06-27,1500000,402,40
403,1225,612,234,2023-09-21,2200000,403,48
404,1229,615,798,2024-07-19,8000000,404,40
405,1230,616,602,2024-03-22,2000000,405,22
406,1234,618,629,2024-09-14,8000000,406,48
407,1235,619,520,2024-01-18,4500000,407,19
408,1237,622,231,2023-12-27,2000000,408,33
409,1245,623,524,2024-02-12,1500000,409,24
410,1246,625,692,2023-11-09,2200000,410,3
411,1247,626,502,2024-10-14,1500000,411,33
412,1248,627,267,2023-11-27,8000000,412,32
413,1251,628,115,2023-09-30,8000000,413,36
414,1252,629,712,2023-05-26,2000000,414,19
415,1253,630,504,2024-09-12,3000000,415,9
416,1256,631,204,2024-07-20,8000000,416,19
417,1261,632,574,2024-08-17,4500000,417,30
418,1265,635,22,2022-11-07,3000000,418,44
419,1266,636,101,2024-03-01,2000000,419,19
420,1270,637,101,2024-08-09,4500000,420,44
421,1277,638,29,2023-06-07,3000000,421,38
422,1281,641,358,2024-03-26,8000000,422,17
423,1282,644,424,2023-09-11,4500000,423,35
424,1283,645,440,2023-07-25,1500000,424,5
425,1284,647,779,2024-09-17,3000000,425,13
426,1288,648,354,2024-01-23,1500000,426,26
427,1289,650,548,2024-12-24,2000000,427,21
428,1291,651,2,2024-01-02,3000000,428,14
429,1292,652,126,2023-07-07,1500000,429,39
430,1293,654,254,2024-10-13,3000000,430,29
431,1294,655,704,2023-08-19,4500000,431,17
432,1295,657,635,2024-05-30,1500000,432,47
433,1300,658,719,2024-03-29,2000000,433,33
434,1303,659,491,2024-06-25,3000000,434,13
435,1304,661,526,2024-07-02,4500000,435,29
436,1307,662,130,2024-05-14,3000000,436,47
437,1308,665,509,2024-11-25,3000000,437,11
438,1310,666,637,2023-08-25,2200000,438,29
439,1314,670,780,2024-02-21,3000000,439,21
440,1316,672,403,2024-12-05,2200000,440,1
441,1317,674,402,2024-01-07,3000000,441,31
442,1318,676,474,2024-02-28,3000000,442,45
443,1321,678,609,2022-09-29,4500000,443,16
444,1322,679,167,2024-06-22,8000000,444,1
445,1326,680,534,2023-12-01,4500000,445,2
446,1328,681,172,2024-01-28,2200000,446,4
447,1330,682,129,2024-07-04,1500000,447,40
448,1333,683,134,2024-12-25,8000000,448,27
449,1341,684,542,2023-10-14,1500000,449,6
450,1344,685,622,2023-06-21,2200000,450,43
451,1345,686,650,2024-07-04,2200000,451,23
452,1346,689,298,2023-07-26,2200000,452,33
453,1357,690,714,2023-05-17,3000000,453,26
454,1361,691,200,2022-09-09,2200000,454,37
455,1363,693,792,2022-10-15,2000000,455,32
456,1364,694,191,2023-08-19,2000000,456,15
457,1365,696,454,2024-02-21,3000000,457,1
458,1368,701,407,2023-08-28,1500000,458,32
459,1370,704,417,2024-06-25,1500000,459,18
460,1371,705,105,2023-10-28,1500000,460,37
461,1374,708,159,2024-03-22,1500000,461,48
462,1377,709,734,2024-10-07,2200000,462,12
463,1378,710,162,2023-09-07,3000000,463,27
464,1382,712,153,2024-05-18,4500000,464,15
465,1384,714,673,2023-11-08,4500000,465,1
466,1386,716,341,2023-11-25,2000000,466,48
467,1387,718,112,2023-08-03,2000000,467,38
468,1390,719,573,2023-10-10,2200000,468,18
469,1400,722,174,2024-03-16,8000000,469,50
470,1403,723,435,2024-07-06,3000000,470,25
471,1407,725,757,2024-07-05,4500000,471,3
472,1410,726,282,2024-11-07,4500000,472,28
473,1412,727,566,2024-01-30,2200000,473,19
474,1416,729,451,2024-06-04,4500000,474,31
475,1417,730,498,2024-07-25,2000000,475,2
476,1418,731,142,2024-05-23,2000000,476,44
477,1426,732,17,2024-05-13,4500000,477,26
478,1432,733,92,2024-09-22,2200000,478,23
479,1433,735,659,2024-04-30,3000000,479,4
480,1438,736,424,2023-02-14,2000000,480,38
481,1439,738,643,2022-10-26,3000000,481,32
482,1440,739,32,2024-07-16,2000000,482,21
483,1442,744,333,2024-06-26,4500000,483,50
484,1443,747,693,2023-10-19,4500000,484,27
485,1445,748,691,2024-02-02,2000000,485,36
486,1449,749,396,2023-10-26,2000000,486,15
487,1451,750,57,2024-02-13,2000000,487,18
488,1458,751,172,2023-12-17,8000000,488,16
489,1459,752,513,2023-04-15,3000000,489,31
490,1464,753,333,2024-02-29,2200000,490,26
491,1466,756,47,2023-06-23,3000000,491,44
492,1471,757,86,2024-03-16,2200000,492,10
493,1472,759,331,2023-03-14,2000000,493,2
494,1473,761,389,2023-02-09,2000000,494,1
495,1480,762,112,2024-02-11,4500000,495,34
496,1486,764,776,2024-04-18,3000000,496,20
497,1492,766,84,2023-03-20,2000000,497,43
498,1495,767,365,2023-10-29,8000000,498,33
499,1498,768,412,2023-07-26,8000000,499,23
500,1504,769,673,2022-12-11,4500000,500,12
501,1505,771,38,2022-01-13,2000000,501,16
502,1506,772,70,2022-05-17,4500000,502,16
503,1510,774,211,2024-04-08,1500000,503,48
504,1511,776,467,2023-12-26,2000000,504,10
505,1514,777,137,2023-12-04,3000000,505,33
506,1515,778,29,2024-02-05,2000000,506,37
507,1516,779,426,2023-11-16,2000000,507,7
508,1526,783,94,2023-08-28,2200000,508,43
509,1528,784,155,2022-12-10,4500000,509,13
510,1533,785,166,2024-08-05,4500000,510,10
511,1534,788,583,2022-07-14,8000000,511,12
512,1536,790,181,2024-07-31,3000000,512,25
513,1537,793,542,2024-01-27,1500000,513,42
514,1538,795,224,2023-01-13,1500000,514,2
515,1539,797,427,2023-11-28,3000000,515,50
516,1540,798,322,2022-12-14,2200000,516,30
517,1545,799,305,2024-07-14,3000000,517,14
518,1548,800,776,2023-01-15,3000000,518,43
519,1551,801,741,2022-12-09,2000000,519,17
520,1558,802,172,2024-09-11,8000000,520,47
521,1559,803,398,2023-06-27,4500000,521,27
522,1560,804,751,2024-10-20,1500000,522,22
523,1565,805,280,2024-05-29,4500000,523,7
524,1571,806,267,2024-10-07,8000000,524,32
525,1576,808,369,2023-06-21,8000000,525,32
526,1577,813,675,2023-04-30,2000000,526,9
527,1584,816,385,2024-02-22,2200000,527,41
528,1587,817,96,2023-10-21,4500000,528,48
529,1593,820,269,2023-12-17,8000000,529,20
530,1597,821,203,2023-05-03,2200000,530,44
531,1599,822,423,2024-07-22,3000000,531,29
532,1602,823,31,2024-05-15,3000000,532,13
533,1608,824,520,2024-11-11,1500000,533,1
534,1609,825,525,2023-05-25,1500000,534,9
535,1610,826,652,2022-06-07,4500000,535,30
536,1615,829,12,2023-12-17,2200000,536,5
537,1618,830,382,2024-12-08,8000000,537,5
538,1622,831,457,2024-05-17,1500000,538,12
539,1625,832,569,2022-11-22,2000000,539,12
540,1629,833,457,2023-11-09,8000000,540,40
541,1630,834,635,2023-06-11,8000000,541,11
542,1631,835,431,2023-12-01,8000000,542,36
543,1634,836,531,2023-04-04,2200000,543,15
544,1638,838,561,2024-12-16,2000000,544,48
545,1640,840,341,2024-02-13,8000000,545,38
546,1641,842,291,2023-04-20,2000000,546,31
547,1643,843,712,2023-02-13,2200000,547,12
548,1649,846,766,2024-02-23,4500000,548,36
549,1650,848,71,2023-12-18,4500000,549,50
550,1660,849,551,2023-03-13,4500000,550,36
551,1666,850,303,2023-11-20,2000000,551,35
552,1667,851,116,2024-08-11,3000000,552,25
553,1670,852,364,2024-02-06,8000000,553,32
554,1672,853,344,2024-02-08,1500000,554,20
555,1673,854,169,2023-05-30,2000000,555,31
556,1675,855,396,2022-09-13,2200000,556,19
557,1679,856,504,2024-09-26,1500000,557,44
558,1682,857,136,2024-12-06,3000000,558,1
559,1686,858,394,2023-10-18,1500000,559,13
560,1687,859,672,2024-04-15,8000000,560,17
561,1689,860,294,2022-10-20,3000000,561,17
562,1696,861,723,2023-07-19,8000000,562,44
563,1697,862,168,2024-04-22,1500000,563,11
564,1701,863,231,2024-01-10,3000000,564,49
565,1704,866,747,2024-03-17,4500000,565,50
566,1705,867,227,2024-08-24,1500000,566,8
567,1714,870,1,2023-02-03,3000000,567,27
568,1716,871,69,2024-08-03,4500000,568,18
569,1717,874,632,2024-07-27,2000000,569,39
570,1718,875,559,2022-11-03,4500000,570,22
571,1720,876,267,2024-11-17,3000000,571,28
572,1722,879,183,2024-09-06,2000000,572,4
573,1723,882,291,2024-02-18,4500000,573,48
574,1727,883,37,2023-10-21,4500000,574,35
575,1730,884,96,2024-10-05,2200000,575,19
576,1732,885,352,2024-06-18,2200000,576,22
577,1749,886,604,2024-01-27,1500000,577,41
578,1754,887,552,2024-01-18,1500000,578,2
579,1755,888,598,2024-12-17,8000000,579,11
580,1759,889,94,2024-03-06,3000000,580,33
581,1762,890,271,2024-02-28,4500000,581,19
582,1768,892,139,2024-09-16,4500000,582,27
583,1769,893,602,2022-12-14,3000000,583,16
584,1771,894,6,2024-01-08,3000000,584,43
585,1778,896,624,2024-07-19,8000000,585,10
586,1779,898,466,2023-04-04,3000000,586,27
587,1786,899,469,2024-08-15,8000000,587,40
588,1790,900,207,2024-09-15,8000000,588,2
589,1792,901,146,2023-03-25,1500000,589,20
590,1797,902,93,2024-04-09,2000000,590,44
591,1803,903,587,2024-09-08,2000000,591,26
592,1804,904,40,2023-11-10,1500000,592,39
593,1809,905,399,2024-06-18,3000000,593,29
